#,Product name,Class
118,adrenic acid,acyl acid
129,alpha-linolenic acid,acyl acid
149,arachidonic acid,acyl acid
242,decanoic acid,acyl acid
261,docosahexaenoic acid,acyl acid
263,docosapentaenoic acid,acyl acid
267,eicosapentaenoic acid,acyl acid
268,eicosatrienoic acid,acyl acid
285,free fatty acid,acyl acid
337,hexanoic acid,acyl acid
402,linoleic acid,acyl acid
471,octanoic acid,acyl acid
474,oleic acid,acyl acid
615,valeric acid,acyl acid
13,1-hexadecanol,acyl alcohol
14,1-octanol,acyl alcohol
30,2-heptanol,acyl alcohol
243,decanol,acyl alcohol
262,docosanol,acyl alcohol
264,dodecanol,acyl alcohol
289,fatty alcohol,acyl alcohol
336,hexadecanol,acyl alcohol
338,hexanol,acyl alcohol
286,fatty acid ethyl ester,acyl ester
287,fatty acid isobutyl ester,acyl ester
288,fatty acid isopropyl ester,acyl ester
627,wax ester,acyl ester
12,1-deoxynojirymicin,alkaloid
15,1-pipecolic acid,alkaloid
158,avenanthramide,alkaloid
190,canadine,alkaloid
196,chaetominine,alkaloid
204,cis-n-methylstylopine,alkaloid
355,indole,alkaloid
356,indole pyruvic acid,alkaloid
357,indole-3-acetic acid,alkaloid
442,melanin,alkaloid
443,melatonin,alkaloid
469,noscapine,alkaloid
483,penicillin,alkaloid
491,phenazine,alkaloid
492,phenazine-1-carboxamide,alkaloid
493,phenazine-1-carboxylic acid,alkaloid
519,prenylated indole diketopiperazine,alkaloid
530,protopine,alkaloid
540,pyrroloquinoline quinone,alkaloid
550,raucaffricine,alkaloid
552,reticuline,alkaloid
561,rosmarinic acid,alkaloid
571,sanguinarine,alkaloid
573,scopolamine,alkaloid
576,sepiapterin,alkaloid
579,shinorine,alkaloid
589,stylopine,alkaloid
601,tetrahydropapaveroline,alkaloid
602,thailanstatin a,alkaloid
75,4-hydroxy-1-methyl-2(1h)-quinolone,alkaloid
231,curcumin,alkaloid
570,salvianic acid,alkaloid
20,"2,4-dihydroxyquinoline",alkaloid
380,l-alanine,amino acid
381,l-arginine,amino acid
382,l-aspartic acid,amino acid
384,l-cysteine,amino acid
394,l-glutamic acid,amino acid
395,l-histidine,amino acid
406,l-isoleucine,amino acid
409,l-leucine,amino acid
410,l-lysine,amino acid
411,l-methionine,amino acid
417,l-phenylalanine,amino acid
420,l-proline,amino acid
422,l-serine,amino acid
425,l-theanine,amino acid
426,l-threonine,amino acid
427,l-tryptophan,amino acid
428,l-tyrosine,amino acid
432,l-valine,amino acid
482,pelargonidin 3-o-glucoside,anthocyanidin
486,peonidin 3-o-glucoside,anthocyanidin
146,apigenin,anthoxanthin
157,astragalin,anthoxanthin
159,baicalein,anthoxanthin
160,baicalin,anthoxanthin
246,deoxyviolacein,anthoxanthin
252,dihydrokaempferol,anthoxanthin
365,isokaemferide,anthoxanthin
372,jaceosidin,anthoxanthin
373,kaempferol,anthoxanthin
374,kaempferol 3-o-rhamnoside,anthoxanthin
430,luteolin,anthoxanthin
542,quercetin,anthoxanthin
543,quercetin 3-o-(n-acetyl) xylosamine,anthoxanthin
544,quercetin 3-o-(n-acetyl)quinovosamine,anthoxanthin
545,quercetin 3-o-galactoside,anthoxanthin
546,quercetin-3-o-glucuronide,anthoxanthin
547,quercitrin,anthoxanthin
562,rutin,anthoxanthin
575,scutellarein,anthoxanthin
621,violacein,anthoxanthin
119,afzelin,anthoxanthin
144,anthraquinone,anthraquinone
155,aspergiolide a,anthraquinone
269,emodin,anthraquinone
270,endocrocin,anthraquinone
489,perylenequinone,anthraquinone
33,2-hydroxyisobutyric acid,BCAA derived
38,2-ketoisocaproate,BCAA derived
39,2-ketoisovalerate,BCAA derived
41,2-methyl-1-butanol,BCAA derived
42,2-methyl-1-butyl acetate,BCAA derived
43,2-methylbutyric acid,BCAA derived
67,3-methyl-1-butyl acetate,BCAA derived
83,4-methyl-pentanol,BCAA derived
361,isoamyl alcohol,BCAA derived
362,isobutanol,BCAA derived
363,isobutyl acetate,BCAA derived
364,isobutyric acid,BCAA derived
370,isovaleric acid,BCAA derived
480,pantothenic acid,BCAA derived
508,pivalcohol,BCAA derived
447,methyl formate,C1 derived
105,acetaldehyde,C2 derived
106,acetic acid,C2 derived
280,ethanol,C2 derived
330,glycolic acid,C2 derived
332,glyoxylic acid,C2 derived
453,monoethylene glycol,C2 derived
477,oxalic acid,C2 derived
34,2-hydroxyisovaleric acid,C3 derived
45,2-methylsuccinic acid,C3 derived
66,3-hydroxypropionic acid,C3 derived
88,5-deoxypsicose,C3 derived
108,acetoin,C3 derived
109,acetol,C3 derived
111,acetylacetoin,C3 derived
114,acrylic acid,C3 derived
138,ammonium acrylate,C3 derived
205,citramalic acid,C3 derived
247,diacetyl,C3 derived
253,dihydroxyacetone,C3 derived
258,d-lactic acid,C3 derived
329,glycerol,C3 derived
369,isopropanol,C3 derived
408,l-lactic acid,C3 derived
434,maleic acid,C3 derived
522,propanol,C3 derived
523,propionic acid,C3 derived
533,psicose,C3 derived
541,pyruvic acid,C3 derived
577,serinol,C3 derived
583,sorbose,C3 derived
3,"1,2-propanediol",C3 derived 
6,"1,3-propanediol",C3 derived 
16,1-propanol,C3 derived 
17,"2,3-butanediol",C3 derived 
23,"2-amino-1,3-propanediol",C3 derived 
2,"1,2,4-butanetriol",C5 derived 
54,"3,4-dihydroxybutyric acid",C5 derived 
147,arabinose,C5 derived 
148,arabitol,C5 derived 
265,d-ribose,C5 derived 
630,xylitol,C5 derived 
631,xylonic acid,C5 derived 
27,2-deoxy-scyllo-inosose,C6 derived
40,2-keto-l-gluonic acid,C6 derived
89,5-hydroxy-2-hydroxymethyl-gamma-pirone,C6 derived
92,5-keto-d-gluconate,C6 derived
113,acetylneuraminic acid,C6 derived
116,a-d-glucosylglycerol,C6 derived
123,allitol,C6 derived
150,arbutin,C6 derived
260,d-mannose,C6 derived
277,erythritol,C6 derived
299,galactonic acid,C6 derived
307,gdp-l-fucose,C6 derived
320,glcnac,C6 derived
322,glucaric acid,C6 derived
323,gluconic acid,C6 derived
324,glucosamine,C6 derived
325,glucose,C6 derived
359,inositol,C6 derived
376,kojic acid,C6 derived
385,legionaminic acid,C6 derived
386,l-erythrose,C6 derived
387,l-erythrulose,C6 derived
392,l-fructose,C6 derived
393,l-fucose,C6 derived
424,l-tagatose,C6 derived
438,mannitol,C6 derived
459,n-acetylneuraminic acid,C6 derived
531,prunasin,C6 derived
156,astaxanthin,carotenoid
165,beta-carotene,carotenoid
167,beta-ionone,carotenoid
226,crocetin,carotenoid
227,crocin,carotenoid
433,lycopene,carotenoid
500,phytoene,carotenoid
532,pseudoionone,carotenoid
